imdb_id,imdb_rating,imdb_votes,metascore,rotten_tomatoes,rated,box_office,awards
tt7975244,6.6,316072,58.0,72.0,PG-13,320314960.0,2 wins & 10 nominations total
tt0083866,7.9,468998,92.0,99.0,PG,439454989.0,Won 4 Oscars. 52 wins & 39 nominations total
tt1790809,6.5,381325,39.0,30.0,PG-13,172558876.0,1 win & 14 nominations total
tt1190080,5.9,419441,49.0,40.0,PG-13,166112167.0,5 wins & 21 nominations total
tt0304141,7.9,761199,82.0,90.0,PG,250657586.0,Nominated for 2 Oscars. 17 wins & 56 nominations total
tt0316654,7.5,777496,83.0,93.0,PG-13,375087840.0,Won 1 Oscar. 25 wins & 60 nominations total
tt1905041,7.0,438036,61.0,71.0,PG-13,238679850.0,12 wins & 22 nominations total
tt0367882,6.2,511928,65.0,77.0,PG-13,317101119.0,Nominated for 1 BAFTA Award10 wins & 42 nominations total
tt5463162,7.6,742720,66.0,83.0,R,324591735.0,6 wins & 53 nominations total
tt1431045,8.0,1250978,65.0,85.0,R,363070709.0,29 wins & 78 nominations total
tt0076759,8.6,1555851,90.0,93.0,PG,460998507.0,Won 6 Oscars. 70 wins & 31 nominations total
tt2382320,7.3,481524,68.0,83.0,PG-13,160891007.0,Won 1 Oscar. 52 wins & 75 nominations total
tt2015381,8.0,1362435,76.0,91.0,PG-13,333718600.0,Nominated for 2 Oscars. 52 wins & 103 nominations total
tt1877830,7.8,923764,72.0,85.0,PG-13,369801546.0,Nominated for 3 Oscars. 40 wins & 176 nominations total
tt0110357,8.5,1248136,88.0,92.0,G,424979720.0,Won 2 Oscars. 43 wins & 35 nominations total
tt10648342,6.1,459337,57.0,64.0,PG-13,343256830.0,5 wins & 24 nominations total
tt6806448,6.4,255155,60.0,67.0,PG-13,173956935.0,1 win & 25 nominations total
tt0382625,6.6,480857,46.0,25.0,PG-13,217536138.0,8 wins & 21 nominations total
tt1262426,7.4,191746,73.0,88.0,PG,474560015.0,Won 2 Oscars. 125 wins & 324 nominations total
tt0948470,6.9,763493,66.0,71.0,PG-13,262782352.0,2 wins & 33 nominations total
