tmdb_id,imdb_id,title,release_date,genres,budget,revenue,runtime,original_language,production_companies,popularity,tmdb_vote_average,tmdb_vote_count,release_year,genre_primary,budget_reported,revenue_reported,roi,imdb_rating,imdb_votes,metascore,rotten_tomatoes,rated,box_office,awards
12,tt0266543,Finding Nemo,2003-05-30,"Animation, Family, Adventure",94000000.0,940335536.0,100,en,Pixar,11.9434,7.82,20695,2003,Animation,True,True,9.003569531914893,8.2,1196544,90.0,99.0,G,380843261.0,Won 1 Oscar. 49 wins & 63 nominations total
438148,tt5113044,Minions: The Rise of Gru,2022-06-29,"Animation, Comedy, Science Fiction, Crime, Family",85000000.0,940203765.0,87,en,"Universal Pictures, Illumination",24.6632,7.261,4058,2022,Animation,True,True,10.061220764705883,6.5,102656,56.0,70.0,PG,370549695.0,1 win & 17 nominations total
675,tt0373889,Harry Potter and the Order of the Phoenix,2007-07-08,"Adventure, Fantasy",150000000.0,938212738.0,138,en,"Warner Bros. Pictures, Heyday Films",9.2781,7.7,20954,2007,Adventure,True,True,5.254751586666667,7.5,693356,71.0,78.0,PG-13,292382727.0,Nominated for 2 BAFTA 17 wins & 50 nominations total
767,tt0417741,Harry Potter and the Half-Blood Prince,2009-07-15,"Adventure, Fantasy",250000000.0,933959197.0,153,en,"Warner Bros. Pictures, Heyday Films",9.8338,7.681,20939,2009,Adventure,True,True,2.735836788,7.6,653701,78.0,83.0,PG,302334374.0,Nominated for 1 Oscar. 9 wins & 39 nominations total
809,tt0298148,Shrek 2,2004-05-19,"Animation, Comedy, Family, Fantasy, Romance",150000000.0,932542741.0,92,en,"DreamWorks Animation, Pacific Data Images",8.9771,7.325,13559,2004,Animation,True,True,5.216951606666667,7.4,550541,75.0,89.0,PG,444978202.0,Nominated for 2 Oscars. 18 wins & 52 nominations total
121,tt0167261,The Lord of the Rings: The Two Towers,2002-12-18,"Adventure, Fantasy, Action",79000000.0,926287400.0,179,en,"New Line Cinema, WingNut Films, The Saul Zaentz Company",14.7664,8.423,24144,2002,Adventure,True,True,10.725156962025316,8.8,1954618,87.0,95.0,PG-13,350104956.0,Won 2 Oscars. 132 wins & 139 nominations total
329,tt0107290,Jurassic Park,1993-06-11,"Adventure, Science Fiction",63000000.0,920100000.0,127,en,"Universal Pictures, Amblin Entertainment",8.9041,8.0,18043,1993,Adventure,True,True,13.604761904761904,8.2,1167043,68.0,91.0,PG-13,407185075.0,Won 3 Oscars. 44 wins & 27 nominations total
424694,tt1727824,Bohemian Rhapsody,2018-10-24,"Music, Drama",52000000.0,910813521.0,135,en,"20th Century Fox, Regency Enterprises, GK Films, TSG Entertainment",8.4229,7.957,17855,2018,Music,True,True,16.515644634615384,7.9,638785,49.0,60.0,PG-13,216668042.0,Won 4 Oscars. 50 wins & 80 nominations total
779029,tt13462900,The Battle at Lake Changjin,2021-09-30,"Drama, War",200000000.0,902540935.0,178,zh,"Bona Film Group, Shanghai Film Group, DF Pictures, Alibaba Pictures Group, Distribution Workshop, Huaxia Film Distribution, Just Creative Studio, China Film Group Corporation",1.9957,6.304,153,2021,Drama,True,True,3.512704675,5.5,4690,,36.0,Not Rated,342411.0,37 wins & 40 nominations total
674,tt0330373,Harry Potter and the Goblet of Fire,2005-11-16,"Adventure, Fantasy",150000000.0,895921036.0,157,en,"Warner Bros. Pictures, Heyday Films, Patalex IV Productions",11.2044,7.804,22340,2005,Adventure,True,True,4.9728069066666665,7.7,746138,81.0,88.0,PG-13,291239805.0,Nominated for 1 Oscar. 13 wins & 48 nominations total
559,tt0413300,Spider-Man 3,2007-05-01,"Action, Adventure, Science Fiction",258000000.0,894983373.0,139,en,"Laura Ziskin Productions, Marvel Studios, Columbia Pictures",16.3891,6.5,15364,2007,Action,True,True,2.4689278023255814,6.3,692051,59.0,62.0,PG-13,338032318.0,Nominated for 1 BAFTA Award4 wins & 44 nominations total
1084244,tt29355505,Toy Story 5,2026-06-17,"Animation, Family, Comedy, Adventure",250000000.0,893663559.0,102,en,Pixar,279.0417,7.424,646,2026,Animation,True,True,2.574654236,7.5,40356,73.0,93.0,PG,370198297.0,4 nominations total
8355,tt1080016,Ice Age: Dawn of the Dinosaurs,2009-06-26,"Animation, Comedy, Family, Adventure",90000000.0,886686817.0,94,en,"Blue Sky Studios, 20th Century Fox Animation, 20th Century Fox",6.0305,6.772,8943,2009,Animation,True,True,8.852075744444445,6.9,283955,50.0,46.0,PG,196573705.0,3 wins & 13 nominations total
